16;21;21;21;21;22;22;23;25;27;27;27;27;27;27;28;28;28;28;29;29
11;13;16;18;22;22;22;21;22;22;23;23;24;24;24;25;25;25;25;25;
17;22;26;29;31;31;32;31;31;32;33;33;33;33;33;33;33;35;35;;
15;24;24;24;27;27;26;27;29;29;29;30;31;31;33;33;33;33;;;
21;29;34;36;37;39;40;41;41;41;41;42;42;42;42;42;42;;;;
17;13;27;30;33;33;35;37;38;38;39;40;40;40;41;41;;;;;
4;22;28;34;38;40;41;43;46;47;47;47;47;48;50;;;;;;
7;17;19;22;24;25;26;27;28;29;30;31;31;33;;;;;;;
18;24;30;34;35;39;39;41;41;41;42;42;43;;;;;;;;
12;20;25;28;30;31;32;34;37;40;41;43;;;;;;;;;
16;28;28;29;30;31;33;37;39;39;42;;;;;;;;;;
17;28;29;32;35;35;37;40;44;45;;;;;;;;;;;
18;35;38;40;43;44;46;50;51;;;;;;;;;;;;
18;31;42;45;53;53;53;56;;;;;;;;;;;;;
12;25;30;37;39;43;43;;;;;;;;;;;;;;
20;33;46;55;61;65;;;;;;;;;;;;;;;
9;22;29;31;40;;;;;;;;;;;;;;;;
7;21;35;45;;;;;;;;;;;;;;;;;
12;30;45;;;;;;;;;;;;;;;;;;
17;32;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;
